objectid,state,county,title,latitude,longitude,status,display_template,object_location,notes
lacy,Mississippi,Pearl River,Lacy,30.63472222,-89.65305556,Removed,record,,
lake-lowndes,Mississippi,Lowndes,Lake Lowndes ,33.40472222,-88.31777778,Removed,record,,
latimer,Mississippi,Jackson,Latimer ,30.53444444,-88.85916667,Removed,record,,
leaf,Mississippi,Perry,Leaf ,31.0075,-88.84555556,Removed,record,,
leakesville,Mississippi,Greene,Leakesville ,31.17472222,-88.59888889,Removed,record,,
lee-stone,Mississippi,Stone,Lee ,30.85888889,-89.33805556,Removed,record,,
leesdale,Mississippi,Adams,Leesdale ,31.47611111,-91.1675,Removed,record,,
lincoln1,Mississippi,Lincoln,Lincoln ,31.52944444,-90.53444444,Removed,record,,
lodi,Mississippi,Webster,Lodi ,33.54694444,-89.44833333,Removed,record,,
lone-pine,Mississippi,Forrest,Lone Pine,31.17111111,-89.15277778,Removed,record,,
lorman,Mississippi,Jefferson,Lorman,31.84694444,-91.10222222,Removed,record,,
louin,Mississippi,Jasper,Louin ,32.08527778,-89.25,Removed,record,,
louise,Mississippi,Humphreys,Louise ,33.01388889,-90.5825,Removed,record,,
luce,Mississippi,George,Luce,30.95388889,-88.48805556,Removed,record,,
madison,Mississippi,Madison,Madison,32.46666667,-90.17666667,Removed,record,,
marietta,Mississippi,Prentiss,Marietta ,34.53805556,-88.4975,Removed,record,,
marion,Mississippi,Lauderdale,Marion ,32.44111111,-88.67972222,Removed,record,,
maxie,Mississippi,Forrest,Maxie ,30.95416667,-89.18861111,Removed,record,,
mccower,Mississippi,Lowndes,McCower ,33.34277778,-88.53861111,Removed,record,,
mchenry-itawamba,Mississippi,Itawamba,McHenry ,34.1975,-88.45722222,Removed,record,,
mchenry-stone,Mississippi,Stone,McHenry ,30.72694444,-89.14444444,Removed,record,,
mcnair,Mississippi,Jefferson,McNair ,31.66388889,-90.98222222,Removed,record,,
meridian,Mississippi,Lauderdale,Meridian ,32.32805556,-88.70777778,Removed,record,,
millard,Mississippi,Pearl River,Millard ,30.72472222,-89.59944444,Removed,record,,
mize1,Mississippi,Smith,Mize,31.85111111,-89.56472222,Removed,record,,
mize2,Mississippi,Smith,Mize,31.8125,-89.58805556,Removed,record,,
mize3,Mississippi,Smith,Mize,31.85111111,-89.56444444,Removed,record,,
monterey,Mississippi,Rankin,Monterey ,32.18555556,-90.08222222,Removed,record,,
montgomery,Mississippi,Montgomery,Montgomery ,33.54861111,-89.63694444,Removed,record,,
morton,Mississippi,Scott,Morton ,32.37722222,-89.65555556,Removed,record,,
moselle,Mississippi,Jones,Moselle ,31.54805556,-89.25416667,Removed,record,,
myrtle,Mississippi,Union,Myrtle ,34.58083333,-89.16833333,Removed,record,,
nanih-waiya,Mississippi,Winston,Nanih Waiya ,32.94527778,-88.83777778,Removed,record,,
necaise,Mississippi,Hancock,Necaise ,30.60972222,-89.4075,Removed,record,,
nesbitt,Mississippi,DeSoto,Nesbitt,34.90444444,-89.98472222,Removed,record,,
oak-ridge,Mississippi,Warren,Oak Ridge ,32.4475,-90.74638889,Removed,record,,
oakland,Mississippi,Tallahatchie,Oakland,34.0475,-89.95916667,Removed,record,,
oloh,Mississippi,Lamar,Oloh ,31.29166667,-89.57111111,Removed,record,,
parker,Mississippi,George,Parker ,30.81805556,-88.56,Removed,record,,
paulding,Mississippi,Jasper,Paulding,32.03638889,-89.04222222,Removed,record,,
paulette,Mississippi,Noxubee,Paulette ,33.01666667,-88.40055556,Removed,record,,
petal,Mississippi,Forrest,Petal ,31.38194444,-89.1775,Removed,record,,
pine-mountain,Mississippi,Alcorn,Pine Mountain ,34.895,-88.73388889,Removed,record,,
pineburr,Mississippi,Marion,Pineburr ,31.1225,-89.66694444,Removed,record,,
piney-woods,Mississippi,Wayne,Piney Woods ,31.46694444,-88.7425,Removed,record,,
pinola,Mississippi,Simpson,Pinola,31.87305556,-89.955,Removed,record,,
pisgah,Mississippi,Greene,Pisgah ,31.11027778,-88.49277778,Removed,record,,
pleasant-hill,Mississippi,Copiah,Pleasant Hill ,31.73777778,-90.69611111,Removed,record,,
pleasant-ridge,Mississippi,Jones,Pleasant Ridge ,31.675,-89.24861111,Removed,record,,
point-laurel,Mississippi,Jones,Point Laurel ,31.60333333,-89.04083333,Removed,record,,
post,Mississippi,Lauderdale,Post ,32.52027778,-88.87444444,Removed,record,,
prentiss,Mississippi,Prentiss,Prentiss ,34.71194444,-88.66333333,Removed,record,,
quentiin,Mississippi,Franklin,Quentiin ,31.53972222,-90.74,Removed,record,,
quitman1,Mississippi,Clarke,Quitman ,32.04055556,-88.70583333,Removed,record,,
raleigh,Mississippi,Smith,Raleigh ,32.0175,-89.51527778,Removed,record,,
ramsay,Mississippi,Jackson,Ramsay,30.54416667,-88.77777778,Removed,record,,
red-creek,Mississippi,Pearl River,Red Creek,30.93277778,-89.37638889,Removed,record,,
red-rock,Mississippi,Sharkey,Red Rock,32.81388889,-90.77277778,Removed,record,,
remus,Mississippi,Leake,Remus ,32.87888889,-89.3475,Removed,record,,
rider,Mississippi,Yalobusha,Rider,34.12138889,-89.70027778,Removed,record,,
rock-hill-Forrest,Mississippi,Forrest,Rock Hill ,31.08305556,-89.30916667,Removed,record,,
rock-hill-Simpson,Mississippi,Simpson,Rock Hill ,32.03277778,-90.13555556,Removed,record,,
